Cu,Zn,Zone,D_Cu,D_Zn
1,10,Alluvial Fan,0,0
1,9,Alluvial Fan,0,1
3,,Alluvial Fan,1,
3,5,Alluvial Fan,1,1
5,18,Alluvial Fan,1,1
1,10,Alluvial Fan,1,0
4,12,Alluvial Fan,1,1
4,10,Alluvial Fan,1,1
2,11,Alluvial Fan,1,1
2,11,Alluvial Fan,1,1
1,19,Alluvial Fan,1,1
2,8,Alluvial Fan,1,1
5,3,Alluvial Fan,0,0
11,10,Alluvial Fan,1,0
1,10,Alluvial Fan,0,0
2,10,Alluvial Fan,1,1
2,10,Alluvial Fan,1,1
2,10,Alluvial Fan,1,1
2,10,Alluvial Fan,1,1
20,10,Alluvial Fan,0,0
2,10,Alluvial Fan,1,1
2,10,Alluvial Fan,1,0
3,10,Alluvial Fan,1,1
3,10,Alluvial Fan,1,0
,10,Alluvial Fan,,1
20,10,Alluvial Fan,0,0
10,10,Alluvial Fan,0,1
7,10,Alluvial Fan,1,1
5,20,Alluvial Fan,1,1
2,20,Alluvial Fan,1,1
2,10,Alluvial Fan,1,0
10,20,Alluvial Fan,0,1
7,20,Alluvial Fan,1,1
12,20,Alluvial Fan,1,1
1,10,Alluvial Fan,0,0
20,10,Alluvial Fan,1,1
,20,Alluvial Fan,,1
,620,Alluvial Fan,,1
16,40,Alluvial Fan,1,1
5,50,Alluvial Fan,0,1
1,33,Alluvial Fan,1,1
2,10,Alluvial Fan,1,1
5,20,Alluvial Fan,0,1
3,10,Alluvial Fan,1,1
2,10,Alluvial Fan,1,1
8,10,Alluvial Fan,1,1
7,30,Alluvial Fan,1,1
5,20,Alluvial Fan,1,1
5,10,Alluvial Fan,0,1
2,20,Alluvial Fan,1,1
10,20,Alluvial Fan,0,1
5,20,Alluvial Fan,0,1
5,10,Alluvial Fan,0,0
2,20,Alluvial Fan,1,1
10,23,Alluvial Fan,1,1
2,17,Alluvial Fan,1,1
4,10,Alluvial Fan,1,1
5,10,Alluvial Fan,0,0
2,10,Alluvial Fan,1,1
3,20,Alluvial Fan,1,1
9,29,Alluvial Fan,1,1
5,20,Alluvial Fan,0,1
2,10,Alluvial Fan,1,0
2,10,Alluvial Fan,1,1
2,10,Alluvial Fan,1,0
2,10,Alluvial Fan,1,1
1,7,Alluvial Fan,1,1
1,10,Alluvial Fan,1,0
2,20,Basin Trough,1,1
2,10,Basin Trough,1,1
12,60,Basin Trough,1,1
2,20,Basin Trough,1,1
1,12,Basin Trough,1,1
10,8,Basin Trough,0,1
10,10,Basin Trough,0,0
4,14,Basin Trough,1,1
10,10,Basin Trough,0,0
1,17,Basin Trough,0,1
1,3,Basin Trough,1,0
2,11,Basin Trough,0,1
2,5,Basin Trough,0,1
1,12,Basin Trough,1,1
2,4,Basin Trough,1,1
10,3,Basin Trough,0,1
3,6,Basin Trough,1,1
1,3,Basin Trough,0,1
1,15,Basin Trough,1,1
1,13,Basin Trough,1,1
3,4,Basin Trough,1,1
5,20,Basin Trough,0,1
,20,Basin Trough,,1
17,70,Basin Trough,1,1
23,60,Basin Trough,1,1
9,40,Basin Trough,1,1
9,30,Basin Trough,1,1
3,40,Basin Trough,1,1
3,17,Basin Trough,1,1
15,10,Basin Trough,0,1
5,20,Basin Trough,0,1
4,20,Basin Trough,1,1
5,5,Basin Trough,0,1
5,10,Basin Trough,0,1
5,50,Basin Trough,0,1
4,30,Basin Trough,1,1
8,25,Basin Trough,1,1
1,10,Basin Trough,1,0
15,10,Basin Trough,1,1
3,40,Basin Trough,1,1
3,20,Basin Trough,1,1
1,10,Basin Trough,1,1
6,20,Basin Trough,1,1
3,20,Basin Trough,1,1
6,30,Basin Trough,1,1
3,20,Basin Trough,1,1
4,30,Basin Trough,1,1
5,50,Basin Trough,1,1
14,90,Basin Trough,1,1
4,20,Basin Trough,1,1
